,tmdb_id,name,original_name,keywords,airing_date,directors,cast,genres,number_of_seasons,number_of_episodes,episode_run_time,synopsis,popularity,average_rating,rating_count,networks,production_companies,cast_popularity
502,54244,Heartless City,무정도시,romance;gang;bromance;sismance;steamy kiss,2013-05-27,,Jung Kyung-ho;Lee Jae-yoon;Kim Yu-mi;Son Chang-min;Yoon Hyun-min;Choi Moo-sung;Kim Min-sang;Hyo-Seon Kim;Jung Moon-sung;Lee Mu-saeng;Go Na-eun,Action & Adventure;Crime;Drama,1.0,20.0,60.0,"Nam Gyu Ri sizzles and sways in this noir thriller about getting in too deep. When her best friend suffers a brutal fate while undercover in the crime underworld, Han Soo Min is driven to pick up where her friend left off. But in the shadows, there are no rules and no reason: Soo Min falls for the organization’s king pin, who also happens to be the prime suspect of her friend’s murder. With a betrayal at every corner, can Soo Min afford to trust the unjust? As with all things noir, expect seduction, femme fatales and mystery! ",5.628,8.8,10.0,JTBC,,44.997
503,32614,Prosecutor Princess,검사 프린세스,law school;lawyer,2010-03-31,,Kim So-yeon;Park Si-hoo;Min Young-won;Han Jung-soo;Sunwoo Jae-duk;Choi Song-hyun,Drama,1.0,16.0,65.0,"Ma Hye Ri is a woman with an excellent memory and ability to focus, which allowed her to pass the bar exam with ease. Despite her talents, she is more interested in being fashionable and dislikes hard work, so she is far from being an ideal prosecutor and has doubts about her suitability for her job. Through her conflicts with senior colleagues and struggles with difficult cases, however, Hye Ri gradually matures into a brilliant prosecutor with a sense of duty and justice.",4.254,6.9,6.0,SBS,Seoul Broadcasting System,18.308
504,64292,Falling for Challenge,도전에 반하다,high school;romance;relationship;school club;part time,2015-10-26,,Kim So-eun;Xiumin;Jang Hee-ryung;Jang Yoo-sang,Comedy;Drama,1.0,24.0,13.0,"Na Do Jeon works as a clown part-time due to his love of making others happy with laughter. Ban Ha Na is the female lead that aspires to start her own food truck business. The two meet at a common interest club called ""One Plus"" where the story will unfold.",5.464,8.7,3.0,NAVER TV,Samsung Entertainment,13.793000000000001
505,136446,Political Fever,이렇게 된 이상 청와대로 간다,politics;minister;government official,2021-11-12,Yoon Seong-ho,Kim Sung-ryung;Bae Hae-sun;Bek Hyun-jin;Lee Hak-joo;Jung Seung-kil;Lee Chae-eun;Yoon Geumseon-ah;Heo Jung-do;Kim Kyung-il,Comedy;Drama,1.0,12.0,60.0,"A black comedy political sitcom about an Olympic gold medalist who was appointed as minister of Ministry of Culture, Sports and Tourism and is facing a kidnapping incident of her husband who is a political critic.",3.271,8.0,2.0,wavve,CS Pictures,35.855000000000004
506,62746,Legendary Witches,전설의 마녀,,2014-10-25,,Hong Ah-reum;Do Sang-woo;Ha Yeon-soo;Ha Seok-jin;Park In-hwan;Lee Seung-joon;Tae Hang-ho;Han Ji-hye;Kwon Seong-deok;Jeon In-hwa,Drama;Family;Romance,1.0,40.0,70.0,"Orphan Moon Soo-in marries Ma Do-hyun, the eldest son of the chaebol family who owns bakery corporation Shinhwa Group. But when Do-hyun dies unexpectedly, the Ma family makes Soo-in take the fall for their illegal business practices and she ends up in jail for stock manipulation that she didn't commit. At Cheongju's Penitentiary for Women, her cellmates are kind-hearted Shim Bok-nyeo who was falsely accused of killing her husband and son; tough-as-nails, foul-mouthed Son Poong-geum who was convicted of fraud; and former model Seo Mi-oh who's been charged with the attempted murder of her boyfriend, Shinhwa Group's youngest son.

The four women bond and become friends, particularly when they join the baking classes being taught by Nam Woo-suk, a hotel chef. Woo-suk is a widower who is raising his daughter alone after the death of his wife six years ago. At his father-in-law's suggestion, he became a volunteer at the local prison's vocational training center, where he meets Soo-in and begins to fall for her.

Upon their discharge, the four women put the baking skills they learned in prison to use, opening up a bakery together. But they face stiff competition from the Shinhwa Group.",5.633,8.8,2.0,MBC,Pan Entertainment,33.044000000000004
507,39040,Midas,마이더스,business,2011-02-22,,Jang Hyuk;Lee Min-jung;Kim Hee-ae;No Min-woo;Han Yoo-yi;Lee Duck-hwa;Cheon Ho-jin;Kim Sung-oh;Choi Jung-woo;Lee Sang-yeob;Yoon Je-moon;Shin So-yul;Jung Suk-won;Ricky Kim,Drama,1.0,21.0,70.0,"A business drama about mergers and acquisitions between companies.  When Kim Do Hyun passes the bar exam at the top of his class, he's offered a dream job as top aide to Yoo In Hye, daughter to one of the richest and most powerful men in South Korea. As he becomes more ambitious, Do Hyun is about to find out just how cut throat In Hye's world is, and also just how much he's about to lose, including his long-time girlfriend Lee Jung Yeon.",5.451,6.5,1.0,SBS,,93.77000000000001
508,81135,Love To The End,끝까지 사랑,,2018-07-23,,Lee Young-ah;Shim Ji-ho;Jung Su-young;Kang Eun-Tak;Hong Soo-ah;Park Kwang-hyun;Lee Kyung-jin,Drama;Family,1.0,105.0,35.0,"When she was a teenager, Han Ka Young's father's company went bankrupt. As a result, her parents then divorced. Because of her difficult situation, Han Ka Young has taken care of the housework and her family since her teenage years. Nevertheless, she has a bright personality. Her father then starts a cosmetics company. She works at her father's company and takes her job seriously. Meanwhile, Han Ka Young has never had a boyfriend. One day, she meets Yoon Jung Han, the successor to a family owned glass factory. Han Ka Young falls in love with him.",7.626,8.5,2.0,KBS2,TAKE2,22.738999999999997
509,62610,Temptation,유혹,rich woman poor man;infertility;heartbreak;hypocrisy;power struggle;lovers separated,2014-07-14,,Kwon Sang-woo;Choi Ji-woo;Park Ha-sun;Choi Il-hwa;Lee Jung-jin;Kim Ji-young;Lee Jung-shin;Heo Jung-eun;Choi Hyun,Drama;Romance,1.0,20.0,60.0,"To pay a debt, a married man receives billions of won from a woman. In return for the money, the man gives himself to the woman.",5.447,8.5,2.0,SBS,,35.598
510,135687,User Not Found,@계정을 삭제하였습니다,,2021-12-03,,Bae Jin-young;Shin So-hyun;Han Ye-ji;Ahn Se-min;Lee Seung-Gyu,Drama,1.0,22.0,14.0,"A romance drama about two female high school students who happen to share the same name. When they both transfer to a new school at the same time, hoping to use the opportunity to turn their lives around, they forge a secret contract to swap identities. Shin Yi Joon is the most popular student at his high school. Although he seems tough and aloof on the outside, Shin Yi Joon is actually a huge softie on the inside—and far from getting into fights with other students, he even has a hard time saying no to other people.",5.445,10.0,1.0,watcha,Whynot Media,3.8000000000000003
511,112322,Delayed Justice,날아라 개천용,based on novel or book;investigation;lawyer;reporter;fight for justice;legal drama,2020-10-30,,Kwon Sang-woo;Kim Joo-hyun;Jung Woong-in;Kim Eung-soo;Cho Seong-ha;Kim Kap-soo;Lee Won-jong;Park Ji-Il;Lee Soon-won;Kim Hye-hwa;An Si-ha,Drama,1.0,20.0,65.0,A reporter and a public defender fight for judicial victims who are falsely accused.,5.964,6.5,4.0,SBS;wavve,Studio S;Studio & New,47.68000000000001
